unit_id,product_type,price,gender,time_slot,price_tier,followers_10k,active_followers_10k,stream_hours,viewers,sales_index,conversion_rate,conversion_pct,fan_activity,sales_per_viewer,mean_f0,range_f0,sd_f0,hnr,jitter,shimmer,speech_rate,voice_index
156,food,14.2,0,evening,low,96.4,18.3,6.42,6458,1867,0.1816,18.2,0.1898,0.29,200.06,403.02,63.52,9.1,1.8876,12.4737,4.398,0.2103
157,apparel,31.1,1,morning,mid,70.7,11.3,1.03,194,1300,0.1385,13.9,0.1599,6.7,257.65,466.52,79.63,10.35,2.517,13.105,6.062,0.2573
158,food,30.9,0,afternoon,mid,7.6,3.0,5.66,1644,1300,0.1411,14.1,0.3951,0.79,261.53,477.39,78.46,8.41,2.5918,14.3048,4.655,-0.0549
159,food,55.8,1,late_night,mid,53.9,6.8,16.63,251,1300,0.145,14.5,0.1261,5.18,254.68,389.13,73.03,8.13,1.9685,14.2994,5.001,0.085
160,daily_goods,109.9,0,evening,mid_high,27.5,9.4,15.78,362,1300,0.146,14.6,0.3412,3.59,250.41,465.43,75.15,9.44,2.8504,12.6083,5.719,0.1157
161,daily_goods,11.4,0,morning,low,12.9,1.1,7.09,9101,2148,0.1801,18.0,0.0854,0.24,320.04,470.44,73.76,4.21,3.1918,14.5156,6.837,-0.346
162,food,31.9,0,morning,mid,288.8,60.5,6.92,440,1300,0.2389,23.9,0.2095,2.95,182.49,562.0,99.78,10.44,2.0848,13.1753,4.08,0.2124
163,food,186.7,1,morning,high,303.5,18.3,0.82,1985,1300,0.2208,22.1,0.0603,0.65,235.14,562.0,95.14,9.2,2.8188,12.5675,4.799,0.0407
164,food,16.2,0,morning,low,205.9,49.9,4.53,60,1300,0.2087,20.9,0.2424,21.67,296.9,443.0,77.47,9.3,2.3033,13.8696,6.493,0.224
165,food,14.8,1,late_night,low,64.6,5.1,11.03,16212,3006,0.1689,16.9,0.079,0.19,303.76,452.46,66.41,11.7,1.9025,10.9768,4.127,0.4443
166,daily_goods,45.7,0,afternoon,mid,204.0,5.3,5.15,2450,1300,0.1627,16.3,0.026,0.53,164.07,524.47,74.51,4.12,2.7417,15.1845,5.124,-0.4068
167,apparel,92.6,0,morning,mid_high,50.0,4.0,13.59,755,1300,0.1526,15.3,0.0799,1.72,221.76,422.01,62.41,4.07,3.1841,17.3527,3.997,-0.6828
168,apparel,37.1,1,evening,mid,61.1,14.3,13.05,2353,1300,0.143,14.3,0.2339,0.55,308.62,518.27,77.34,9.91,2.3291,13.5961,5.326,0.1915
169,food,157.9,0,morning,high,15.7,2.5,4.46,120,1300,0.0764,7.6,0.1595,10.83,264.42,462.79,81.12,9.18,2.2697,14.7343,4.812,0.0638
170,apparel,93.9,1,morning,mid_high,75.0,2.7,7.47,5848,2479,0.1616,16.2,0.036,0.42,248.15,390.51,71.27,9.64,1.9236,17.0191,4.199,0.0281
171,apparel,92.4,1,evening,mid_high,52.6,11.3,17.49,610,1300,0.1373,13.7,0.2147,2.13,226.68,391.54,61.25,8.0,2.4757,14.9846,4.052,-0.133
172,apparel,67.3,0,evening,mid,12.6,2.2,2.06,731,1300,0.1227,12.3,0.1749,1.78,218.04,562.0,102.8,10.93,1.9957,13.5012,4.907,0.3123
173,daily_goods,473.6,0,late_night,high,46.8,3.9,5.24,475,1300,0.1389,13.9,0.0833,2.74,252.99,457.17,85.46,11.62,1.4558,10.5685,5.635,0.6617
174,daily_goods,29.2,0,evening,low,45.4,5.7,1.88,415,1300,0.2242,22.4,0.1255,3.13,224.88,562.0,92.11,10.46,1.5707,10.9568,4.656,0.464
175,daily_goods,4.0,1,afternoon,low,320.0,53.1,3.46,2813,1300,0.2258,22.6,0.1659,0.46,235.79,427.88,61.06,8.52,2.5547,16.749,4.865,-0.1312
176,food,213.7,1,evening,high,126.3,21.0,20.85,1457,1300,0.2459,24.6,0.1662,0.89,242.09,493.88,93.2,3.72,2.1185,15.716,5.264,-0.3149
177,daily_goods,22.1,0,late_night,low,50.0,5.7,5.24,2638,1300,0.1995,20.0,0.114,0.49,202.74,562.0,89.37,11.2,2.0539,10.8857,3.917,0.364
178,apparel,41.2,0,evening,mid,64.2,7.4,1.25,979,1300,0.1758,17.6,0.1154,1.33,265.67,383.29,62.46,12.38,1.65,11.764,5.527,0.6144
179,daily_goods,154.5,0,late_night,high,51.7,2.9,3.06,2143,1300,0.1546,15.5,0.056,0.61,389.54,314.38,47.24,10.88,2.4853,12.6127,6.327,0.3434
180,food,6.3,0,evening,low,39.9,3.9,1.71,529,1300,0.2022,20.2,0.0977,2.46,145.6,562.0,81.91,6.91,2.4095,13.77,6.148,0.0054
181,daily_goods,9.2,1,late_night,low,15.9,0.6,7.68,28130,4131,0.1926,19.3,0.0378,0.15,254.85,402.2,51.13,10.95,2.2476,12.2219,4.658,0.2981
182,apparel,6.3,1,morning,low,42.2,1.8,9.24,94,1300,0.2716,27.2,0.0427,13.83,198.47,468.3,80.62,11.44,1.8098,14.3758,4.261,0.3052
183,food,15.3,0,evening,low,22.6,1.9,12.22,6577,2291,0.1668,16.7,0.0842,0.35,268.02,421.95,60.46,13.25,1.7344,9.9936,5.562,0.7408
184,daily_goods,59.4,1,afternoon,mid,13.3,2.9,10.64,7722,1300,0.1704,17.0,0.2182,0.17,240.42,491.99,106.25,6.92,2.8388,12.9784,5.432,-0.1033
185,food,65.1,0,evening,mid,84.5,12.6,2.14,276,1300,0.1627,16.3,0.1491,4.71,277.62,392.06,52.95,8.61,2.1825,15.6692,4.68,-0.0097
186,food,49.6,0,evening,mid,74.5,18.5,8.92,28111,4215,0.1156,11.6,0.2483,0.15,299.13,455.24,61.52,11.14,2.3388,13.3791,4.904,0.259
187,apparel,7.7,1,late_night,low,7.6,1.4,6.22,4417,2365,0.195,19.5,0.185,0.54,248.01,506.88,85.69,9.35,1.8933,12.7106,5.278,0.2801
188,food,2.9,1,late_night,low,43.4,9.5,13.41,4259,1914,0.2302,23.0,0.2187,0.45,296.87,387.32,75.73,6.29,2.7718,13.0657,4.585,-0.1993
189,apparel,38.9,1,morning,mid,140.5,12.0,11.46,1035,1300,0.1709,17.1,0.0854,1.26,128.0,412.59,66.6,10.28,2.434,11.9362,3.872,0.1646
190,apparel,21.8,0,evening,low,150.2,11.8,22.61,716,1300,0.1761,17.6,0.0785,1.82,320.7,441.51,75.79,10.7,2.2824,12.7757,5.389,0.3004
191,daily_goods,60.7,0,evening,mid,145.1,20.6,3.26,725,1300,0.1016,10.2,0.142,1.79,257.5,352.84,39.86,9.43,2.9007,15.5193,5.662,-0.0283
192,food,79.2,0,morning,mid,51.5,7.5,2.9,1783,1300,0.1132,11.3,0.1457,0.73,294.05,435.35,63.56,9.77,1.9149,11.7835,4.729,0.3079
193,food,42.6,0,morning,mid,20.3,1.6,4.75,8118,1705,0.2265,22.7,0.0787,0.21,174.57,479.74,67.1,8.53,1.8735,14.0778,3.121,0.0094
194,food,84.4,1,morning,mid_high,15.8,1.9,6.4,1302,1300,0.1805,18.0,0.12,1.0,194.8,437.24,52.9,13.04,1.3759,12.4932,3.189,0.523
195,daily_goods,47.1,1,evening,mid,70.9,6.4,4.06,253,1300,0.1207,12.1,0.0902,5.14,245.59,447.75,72.69,6.86,2.821,11.4379,3.967,-0.1413
196,apparel,65.6,0,afternoon,mid,73.6,40.4,3.4,3417,1300,0.1775,17.7,0.5491,0.38,237.11,468.37,54.75,7.67,2.6501,16.3968,3.877,-0.2693
197,food,16.9,1,late_night,low,190.9,37.4,8.52,3951,1300,0.1782,17.8,0.1959,0.33,252.72,416.23,54.7,9.23,2.2938,11.8864,4.805,0.187
198,apparel,30.0,0,afternoon,mid,156.8,28.4,4.74,2649,1300,0.1863,18.6,0.1811,0.49,294.39,526.67,79.43,11.49,1.549,12.9103,4.31,0.4332
199,food,45.4,1,late_night,mid,43.0,3.9,3.93,3036,1300,0.2088,20.9,0.0907,0.43,146.21,562.0,82.44,5.31,3.0754,16.6045,3.771,-0.5517
200,daily_goods,90.2,0,afternoon,mid_high,13.4,4.2,2.14,661,1300,0.0832,8.3,0.314,1.97,288.64,431.92,72.68,5.79,2.3103,17.6435,4.574,-0.3386
201,food,23.7,0,evening,low,35.3,4.3,0.88,246,1300,0.1241,12.4,0.1217,5.28,238.43,509.79,84.32,3.9,3.4094,17.9623,4.513,-0.7337
202,daily_goods,64.9,1,morning,mid,62.1,23.3,16.11,270,1300,0.1556,15.6,0.3754,4.81,227.4,450.35,80.1,9.29,3.2502,9.9396,5.717,0.1351
203,food,27.3,0,evening,low,40.0,5.3,15.8,85,1300,0.1977,19.8,0.1326,15.29,161.5,499.97,86.77,6.29,2.7973,14.3431,4.846,-0.2426
204,daily_goods,32.2,0,evening,mid,26.9,5.2,11.69,1416,1300,0.1916,19.2,0.1931,0.92,264.16,562.0,100.19,8.2,2.6061,14.637,4.997,-0.0634
205,food,91.1,0,late_night,mid_high,64.4,6.3,9.91,876,1300,0.17,17.0,0.0978,1.48,128.0,511.71,81.86,10.92,1.8488,12.4179,3.836,0.3145
206,apparel,4.1,0,evening,low,29.1,8.3,4.41,513,1300,0.2174,21.7,0.2852,2.53,271.72,324.58,54.66,7.53,1.8619,15.5943,4.718,-0.0134
207,daily_goods,8.8,0,morning,low,25.5,11.4,10.19,12,1300,0.1489,14.9,0.4462,108.33,160.41,507.23,85.76,9.8,1.9669,14.6862,4.598,0.1617
